chunk_size,overlap,top_k,reranking,prompt_type,not_found
128,0,5,cross,baseline,0.0
128,0,5,cross,citation,0.26666666666666666
128,0,5,cross,strict,0.6
128,0,5,embedding,baseline,0.0
128,0,5,embedding,citation,0.2
128,0,5,embedding,strict,0.6666666666666666
128,0,5,off,baseline,0.0
128,0,5,off,citation,0.36666666666666664
128,0,5,off,strict,0.6
128,0,10,cross,baseline,0.0
128,0,10,cross,citation,0.2
128,0,10,cross,strict,0.6666666666666666
128,0,10,embedding,baseline,0.0
128,0,10,embedding,citation,0.26666666666666666
128,0,10,embedding,strict,0.7
128,0,10,off,baseline,0.0
128,0,10,off,citation,0.23333333333333334
128,0,10,off,strict,0.6333333333333333
128,32,5,cross,baseline,0.0
128,32,5,cross,citation,0.2
128,32,5,cross,strict,0.6333333333333333
128,32,5,embedding,baseline,0.0
128,32,5,embedding,citation,0.3
128,32,5,embedding,strict,0.6666666666666666
128,32,5,off,baseline,0.0
128,32,5,off,citation,0.2
128,32,5,off,strict,0.6666666666666666
128,32,10,cross,baseline,0.0
128,32,10,cross,citation,0.3333333333333333
128,32,10,cross,strict,0.6333333333333333
128,32,10,embedding,baseline,0.0
128,32,10,embedding,citation,0.3
128,32,10,embedding,strict,0.7333333333333333
128,32,10,off,baseline,0.0
128,32,10,off,citation,0.23333333333333334
128,32,10,off,strict,0.4666666666666667
256,0,5,cross,baseline,0.0
256,0,5,cross,citation,0.3
256,0,5,cross,strict,0.5333333333333333
256,0,5,embedding,baseline,0.0
256,0,5,embedding,citation,0.3
256,0,5,embedding,strict,0.5
256,0,5,off,baseline,0.0
256,0,5,off,citation,0.23333333333333334
256,0,5,off,strict,0.6333333333333333
256,0,10,cross,baseline,0.0
256,0,10,cross,citation,0.26666666666666666
256,0,10,cross,strict,0.6
256,0,10,embedding,baseline,0.0
256,0,10,embedding,citation,0.3
256,0,10,embedding,strict,0.7
256,0,10,off,baseline,0.0
256,0,10,off,citation,0.2
256,0,10,off,strict,0.6
256,32,5,cross,baseline,0.0
256,32,5,cross,citation,0.2
256,32,5,cross,strict,0.6333333333333333
256,32,5,embedding,baseline,0.0
256,32,5,embedding,citation,0.3
256,32,5,embedding,strict,0.6
256,32,5,off,baseline,0.0
256,32,5,off,citation,0.26666666666666666
256,32,5,off,strict,0.5333333333333333
256,32,10,cross,baseline,0.0
256,32,10,cross,citation,0.16666666666666666
256,32,10,cross,strict,0.7
256,32,10,embedding,baseline,0.0
256,32,10,embedding,citation,0.23333333333333334
256,32,10,embedding,strict,0.6333333333333333
256,32,10,off,baseline,0.0
256,32,10,off,citation,0.23333333333333334
256,32,10,off,strict,0.5666666666666667
