chunk_size,overlap,top_k,reranking,prompt_type,latency
128,0,5,cross,baseline,0.5114281415939331
128,0,5,cross,citation,0.6590952078501383
128,0,5,cross,strict,0.48810455004374187
128,0,5,embedding,baseline,0.4417598565419515
128,0,5,embedding,citation,0.5481273412704468
128,0,5,embedding,strict,0.4693233807881673
128,0,5,off,baseline,0.4513632535934448
128,0,5,off,citation,0.5439538399378459
128,0,5,off,strict,0.4325392325719198
128,0,10,cross,baseline,0.5284278313318889
128,0,10,cross,citation,0.6521522283554078
128,0,10,cross,strict,0.5126670916875203
128,0,10,embedding,baseline,0.4591578483581543
128,0,10,embedding,citation,0.5865727583567302
128,0,10,embedding,strict,0.47191699345906574
128,0,10,off,baseline,0.44881064097086587
128,0,10,off,citation,0.5601877768834432
128,0,10,off,strict,0.4476505200068156
128,32,5,cross,baseline,0.47070151964823403
128,32,5,cross,citation,0.5994938294092814
128,32,5,cross,strict,0.4644204298655192
128,32,5,embedding,baseline,0.47684626579284667
128,32,5,embedding,citation,0.5473641713460287
128,32,5,embedding,strict,0.43101921876271565
128,32,5,off,baseline,0.46631158192952477
128,32,5,off,citation,0.554127311706543
128,32,5,off,strict,0.4362309535344442
128,32,10,cross,baseline,0.5608713547388713
128,32,10,cross,citation,0.627703865369161
128,32,10,cross,strict,0.49296998977661133
128,32,10,embedding,baseline,0.4633290688196818
128,32,10,embedding,citation,0.5570668538411458
128,32,10,embedding,strict,0.39732208251953127
128,32,10,off,baseline,0.44803121089935305
128,32,10,off,citation,0.5460804224014282
128,32,10,off,strict,0.4546758731206258
256,0,5,cross,baseline,0.48642128308614097
256,0,5,cross,citation,0.6297152280807495
256,0,5,cross,strict,0.5267105817794799
256,0,5,embedding,baseline,0.4487687667210897
256,0,5,embedding,citation,0.5369852463404338
256,0,5,embedding,strict,0.43806212743123374
256,0,5,off,baseline,0.45104920069376625
256,0,5,off,citation,0.5529448429743449
256,0,5,off,strict,0.45440633296966554
256,0,10,cross,baseline,0.5425163269042969
256,0,10,cross,citation,0.6439341465632121
256,0,10,cross,strict,0.5369138399759928
256,0,10,embedding,baseline,0.43815758228302004
256,0,10,embedding,citation,0.5816349903742473
256,0,10,embedding,strict,0.450465734799703
256,0,10,off,baseline,0.4527766466140747
256,0,10,off,citation,0.5668258905410767
256,0,10,off,strict,0.4404179573059082
256,32,5,cross,baseline,0.49785081545511883
256,32,5,cross,citation,0.6048947016398112
256,32,5,cross,strict,0.4840034643809001
256,32,5,embedding,baseline,0.449542768796285
256,32,5,embedding,citation,0.5465144316355387
256,32,5,embedding,strict,0.4286468108495077
256,32,5,off,baseline,0.44481987953186036
256,32,5,off,citation,0.5507580041885376
256,32,5,off,strict,0.43124388058980306
256,32,10,cross,baseline,0.5317439317703248
256,32,10,cross,citation,0.6848409414291382
256,32,10,cross,strict,0.5048229853312175
256,32,10,embedding,baseline,0.4680973927179972
256,32,10,embedding,citation,0.5606163263320922
256,32,10,embedding,strict,0.4593374013900757
256,32,10,off,baseline,0.44278702735900877
256,32,10,off,citation,0.5367950598398844
256,32,10,off,strict,0.44853369394938153
